City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,itaituba,-4.2761,-55.9836,93.36,43,20,2.06,BR,1722877265
261,astrakhan,46.3497,48.0408,84.07,48,20,3.0,RU,1722877266
262,margaret river,-33.95,115.0667,60.93,86,55,7.62,AU,1722877171
263,gebeit,21.0667,36.3167,89.94,41,96,1.28,SD,1722877269
264,amga,60.8953,131.9608,52.52,96,100,4.41,RU,1722877270
265,bethel,41.3712,-73.414,88.41,60,0,0.89,US,1722877174
266,ramshir,30.8946,49.4092,105.66,7,0,3.84,IR,1722877272
267,murzuq,25.9155,13.9184,102.85,9,0,4.54,LY,1722877273
268,east london,-33.0153,27.9116,54.54,62,0,2.57,ZA,1722876874
269,zabaykal'sk,49.6333,117.3167,65.07,60,48,1.93,RU,1722877275
270,el porvenir,13.7617,-87.3458,83.53,52,57,0.92,HN,1722877276
271,yuzhno-kurilsk,44.0306,145.8556,61.05,100,100,1.96,RU,1722877277
272,karratha,-20.7377,116.8463,65.91,36,0,3.53,AU,1722877279
273,dila,6.4167,38.3167,63.9,93,99,1.03,ET,1722877280
274,san antonio de pale,-1.4014,5.6325,72.27,72,96,4.27,GQ,1722876852
275,bamboo flat,11.7,92.7167,78.89,89,75,2.57,IN,1722877282
276,monrovia,6.3005,-10.7969,82.17,78,64,5.31,LR,1722877284
277,coxim,-18.5067,-54.76,97.45,16,0,3.84,BR,1722877230
278,puerto aysen,-45.4,-72.7,41.25,98,100,2.35,CL,1722877223
279,tuy hoa,13.0833,109.3,77.59,90,50,1.83,VN,1722877287
280,vila velha,-20.3297,-40.2925,80.55,75,40,5.66,BR,1722877289
281,juan griego,11.0817,-63.9655,84.33,74,61,5.66,VE,1722877290
282,chinde,26.8212,87.7095,76.32,90,93,1.52,NP,1722877291
283,soio,-6.1349,12.3689,71.04,76,28,3.16,AO,1722877292
284,alnwick,55.4132,-1.7056,74.68,69,100,8.23,GB,1722877293
285,charters towers,-20.1,146.2667,56.86,93,39,3.25,AU,1722877294
286,vilyuchinsk,52.9306,158.4028,53.87,88,100,0.81,RU,1722877296
287,paracuru,-3.41,-39.0306,82.11,56,44,8.44,BR,1722877297
288,el granada,37.5027,-122.4694,68.18,86,100,3.09,US,1722877298
289,graaff-reinet,-32.2522,24.5308,55.17,23,0,1.22,ZA,1722877299
290,baekrajan,-6.7674,110.8541,74.61,73,12,2.48,ID,1722877301
291,st. john's,47.5649,-52.7093,73.27,90,100,10.29,CA,1722877302
292,derzhavinsk,51.1,66.3167,72.27,49,50,3.24,KZ,1722877303
293,arar,30.9753,41.0381,102.22,6,0,5.14,SA,1722877304
294,yichang,30.7144,111.2847,81.97,88,98,0.7,CN,1722877305
